frame,color,cx,cy,x,y,w,h,area
41,red,706.86,456.74,689,382,40,140,2358
41,red,877.12,703.00,850,629,55,152,6150
41,red,798.44,690.69,773,630,49,134,4994
41,blue,553.37,685.23,541,673,24,24,475
41,blue,1392.51,689.00,1381,677,23,24,439
41,blue,228.19,887.66,224,878,8,18,113
42,red,834.79,184.51,829,177,11,16,109
42,red,868.26,214.18,835,176,73,84,3106
42,red,881.67,303.77,878,301,8,6,43
42,red,891.72,322.25,879,306,27,31,330
42,red,916.26,347.59,912,339,10,16,92
42,red,710.65,452.72,690,375,44,142,2267
42,red,939.14,447.28,908,375,49,162,4157
42,red,879.29,701.35,853,626,54,156,6311
42,red,796.06,690.31,770,631,52,130,4782
42,blue,553.38,685.24,541,673,24,24,474
42,blue,1392.57,689.16,1381,677,23,24,443
42,blue,228.19,887.66,224,878,8,18,113
43,red,877.18,211.11,843,172,76,92,3107
43,red,843.91,181.86,840,176,8,12,74
43,red,856.46,286.67,852,273,9,28,112
43,red,898.23,317.21,886,298,28,37,384
43,red,921.59,345.45,918,340,8,12,74
43,red,715.02,448.35,694,366,43,147,2322
43,red,917.26,377.80,915,373,6,11,46
43,red,944.07,449.21,921,374,40,164,4267
43,red,880.68,701.18,853,625,56,158,6532
43,red,794.00,689.53,767,632,55,126,4587
43,red,812.00,765.79,805,761,14,11,71
43,blue,553.52,685.29,541,673,25,24,478
43,blue,1392.52,689.29,1380,677,24,24,447
43,blue,228.19,887.66,224,878,8,18,113
44,red,884.76,209.21,850,167,78,102,3194
44,red,864.56,283.76,859,270,11,31,169
44,red,897.07,297.56,894,295,7,6,41
44,red,903.53,315.54,888,301,33,31,434
44,red,825.07,327.86,822,324,6,9,42
44,red,929.29,341.77,925,334,10,16,84
44,red,719.37,444.92,700,365,41,147,2438
44,red,949.45,446.28,925,372,41,165,4113
44,red,881.08,378.27,879,374,7,12,52
44,red,880.23,700.51,851,626,59,158,7005
44,red,793.47,688.73,765,634,57,121,4399
44,blue,553.55,685.13,543,673,22,24,467
44,blue,1392.61,689.21,1381,677,23,24,444
44,blue,228.32,887.62,224,878,9,18,117
45,red,891.71,208.78,856,165,81,105,3361
45,red,874.67,279.78,869,264,14,34,251
45,red,911.54,310.87,896,293,33,37,531
45,red,935.11,339.51,928,332,14,18,123
45,red,723.96,441.53,701,357,45,154,2688
45,red,888.77,374.78,885,370,8,11,65
45,red,954.86,445.34,927,370,45,167,4334
45,red,881.18,702.46,851,628,62,156,7152
45,red,795.44,688.35,765,636,62,116,4413
45,blue,553.67,685.18,543,673,23,24,472
45,blue,1392.68,689.23,1381,677,23,24,444
45,blue,228.53,887.87,224,878,9,18,124
